Material Name,Quantity,Unit,Cost per Unit,Type,Category,Material Type,Material Category
CRAWL SPACE WALLS - 2X4X12 SYP TREATED #2,106,Pieces,4.91,Structural,Framing,Lumber,Wood
CRAWL SPACE WALLS - 2X4X16 SYP TREATED #2,122,Pieces,7.69,Structural,Framing,Lumber,Wood
CRAWL SPACE HEADERS - 2X8X16 SYP TREATED #2,7,Pieces,12.17,Structural,Framing,Lumber,Wood
CRAWL SPACE HEADERS - 1/2X4X8 SYP CDX TREATED,3,Pieces,30.49,Structural,Framing,Lumber,Wood
CRAWL SPACE BEAMS - 2X8X16 SYP TREATED #2,4,Pieces,12.17,Structural,Framing,Lumber,Wood
CRAWL SPACE BEAMS - 2X8X16 SYP TREATED #2,3,Pieces,12.17,Structural,Framing,Lumber,Wood
CRAWL SPACE BEAMS - 2X12X16 SYP TREATED #2,1,Pieces,26.89,Structural,Framing,Lumber,Wood
CRAWL SPACE BEAMS - 2X12X20 SYP TREATED #2,5,Pieces,41.53,Structural,Framing,Lumber,Wood
CRAWL SPACE BEAMS - 2X12X16 SYP TREATED #2,9,Pieces,26.89,Structural,Framing,Lumber,Wood
CRAWL SPACE BEAMS - 2X10X20 SYP TREATED #2,6,Pieces,18.6,Structural,Framing,Lumber,Wood
CRAWL SPACE BEAMS - 2X10X16 SYP TREATED #2,3,Pieces,15.69,Structural,Framing,Lumber,Wood
CRAWL SPACE BEAMS - 2X12X20 SYP TREATED #2,6,Pieces,41.53,Structural,Framing,Lumber,Wood
CRAWL SPACE JOIST - 2X8X16 SYP TREATED #2,5,Pieces,12.17,Structural,Framing,Lumber,Wood
CRAWL SPACE JOIST - 2X8X20 SYP TREATED #2,9,Pieces,15.21,Structural,Framing,Lumber,Wood
CRAWL SPACE JOIST - 2X8X16 SYP TREATED #2,5,Pieces,12.17,Structural,Framing,Lumber,Wood
CRAWL SPACE JOIST - 2X10X20 SYP TREATED #2,28,Pieces,18.6,Structural,Framing,Lumber,Wood
CRAWL SPACE JOIST - 2X10X16 SYP TREATED #2,22,Pieces,15.69,Structural,Framing,Lumber,Wood
CRAWL SPACE EXT STAIRS - 2X8X16 SYP TREATED #2,6,Pieces,12.17,Structural,Framing,Lumber,Wood
CRAWL SPACE EXT STAIRS - 2X12X16 SYP TREATED #2,2,Pieces,26.89,Structural,Framing,Lumber,Wood
CRAWL SPACE EXT STAIRS - 2X12X16 SYP TREATED #2,8,Pieces,26.89,Structural,Framing,Lumber,Wood
CRAWL SPACE EXT STAIRS - 2X12X20 SYP TREATED #2,3,Pieces,41.53,Structural,Framing,Lumber,Wood
CRAWL SPACE SUBFLOOR - 2X6X12 SADDLE SELCT TREX,60,Pieces,76.62,Structural,Framing,Lumber,Wood
CRAWL SPACE SUBFLOOR - 2X8X8 KD SYP #2,8,Pieces,4.19,Structural,Framing,Lumber,Wood
CRAWL SPACE SUBFLOOR - 2X12X8 DRY SYP/DF 2/2B,8,Pieces,9.89,Structural,Framing,Lumber,Wood
